NOMBRE_CONVOCATORIA,AÑO_CONVOCATORIA,FECHA_NACIMIENTO_ASPIRANTE,GENERO_ASPIRANTE,DPTO_NACIMIENTO_ASPIRANTE,POSIBLES_INSTITUCIONES_DE_ESTUDIO,PROGRAMA_DOCTORAL,PROG_NAL_CYT,GRAN_AREA_CONOCIMIENTO_ESTUDIO,AREA_CONOCIMIENTO_ESTUDIO
Doctorados Exterior 2010,2010,12/10/1980 12:00:00 AM,MASCULINO,ATLANTICO,UNIVERSIDAD AUTONOMA DE BARCELONA,Doctorado en Creacion Estrategia y Gestion de Empresas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,North Carolina State University - Purdue University - Texas AM University,Uso eficiente de Subproductos,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2010,2010,03/12/1985 12:00:00 AM,MASCULINO,ANTIOQUIA,Universitat De Valencia,Doctorado en Biomedicina y Farmacia,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,FARMACOLOGIA Y FARMACIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Stanford University - University of California Berkeley - University of California Davis,Environment and Resources  PhD,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2010,2010,11/12/1981 12:00:00 AM,FEMENINO,CORDOBA,UNIVERSIDAD COMPLUTENSE DE MADRID - Universidad de Valencia Espana - Universidad de Barcelona,Doctorado en Farmacia,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,FARMACOLOGIA Y FARMACIA
Doctorados Exterior 2010,2010,01/01/1900 12:00:00 AM,MASCULINO,CAUCA,University College London - University of Manchester - University of Cambridge,MPhil/PhD in anthropology,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,ANTROPOLOGIA
Doctorados Exterior 2010,2010,10/09/1976 12:00:00 AM,MASCULINO,BOGOTA D C,TUFTS UNIVERSITY - Mayo Clinic College Of Medicine - University of Pittsburgh,Doctorado en Neurologia Clinica,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2010,2010,05/12/1985 12:00:00 AM,MASCULINO,META,UNIVERSIDAD AUTONOMA DE BARCELONA,Bioquimica Biologia Molecular y Biomedicina,Ciencias Basicas,OTRAS BIOLOGIAS,BIOQUIMICA Y BIOLOGIA MOLECULAR
Doctorados Exterior 2010,2010,02/07/1979 12:00:00 AM,FEMENINO,CUNDINAMARCA,UNIVERSIDAD AUTONOMA DE BARCELONA - Universidad do Porto - Universidad Politecnica de Valencia,Doctorado en ciencias y tecnologias ambientales,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2010,2010,12/12/1977 12:00:00 AM,FEMENINO,CALDAS,Georgetown University - Binghamton University  - The City University of New York,PhD en Filosofia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,FILOSOFIA
